source,time,latitude,longitude,depth_km,magnitude,station_id,parameter,value
geomagnetic,1990-01-18 00:00:00.000,,,,,,ap,8.0
geomagnetic,1990-01-18 00:00:00.000,,,,,,kp,2.08325
solar,1990-01-18 00:00:00.000,,,,,,f107_observed,224.4
solar,1990-01-18 00:00:00.000,,,,,,sunspot_number,227.0
tidal_ephemeris,1990-01-18 00:00:00.000,,,,,,tidal_potential,-1.11951
tidal_ephemeris,1990-01-18 00:00:00.000,,,,,,lunar_phase,0.70849
seismic,1990-01-18 00:06:06.430,36.511,-89.528,2.3,1.8,,,
geomagnetic,1990-01-19 00:00:00.000,,,,,,ap,4.0
geomagnetic,1990-01-19 00:00:00.000,,,,,,kp,0.8748750000000001
solar,1990-01-19 00:00:00.000,,,,,,f107_observed,240.7
solar,1990-01-19 00:00:00.000,,,,,,sunspot_number,255.0
tidal_ephemeris,1990-01-19 00:00:00.000,,,,,,tidal_potential,-1.2017
tidal_ephemeris,1990-01-19 00:00:00.000,,,,,,lunar_phase,0.73657
seismic,1990-01-19 17:36:52.700,34.956,-84.907,10.8,2.8,,,
geomagnetic,1990-01-20 00:00:00.000,,,,,,ap,14.0
geomagnetic,1990-01-20 00:00:00.000,,,,,,kp,2.8335
solar,1990-01-20 00:00:00.000,,,,,,f107_observed,246.0
solar,1990-01-20 00:00:00.000,,,,,,sunspot_number,303.0
tidal_ephemeris,1990-01-20 00:00:00.000,,,,,,tidal_potential,-1.21337
tidal_ephemeris,1990-01-20 00:00:00.000,,,,,,lunar_phase,0.76597
geomagnetic,1990-01-21 00:00:00.000,,,,,,ap,17.0
geomagnetic,1990-01-21 00:00:00.000,,,,,,kp,3.125
solar,1990-01-21 00:00:00.000,,,,,,f107_observed,259.0
solar,1990-01-21 00:00:00.000,,,,,,sunspot_number,278.0
tidal_ephemeris,1990-01-21 00:00:00.000,,,,,,tidal_potential,-1.15635
tidal_ephemeris,1990-01-21 00:00:00.000,,,,,,lunar_phase,0.7971
geomagnetic,1990-01-22 00:00:00.000,,,,,,ap,19.0
geomagnetic,1990-01-22 00:00:00.000,,,,,,kp,3.333375
solar,1990-01-22 00:00:00.000,,,,,,f107_observed,241.2
solar,1990-01-22 00:00:00.000,,,,,,sunspot_number,267.0
tidal_ephemeris,1990-01-22 00:00:00.000,,,,,,tidal_potential,-1.03525
tidal_ephemeris,1990-01-22 00:00:00.000,,,,,,lunar_phase,0.83014
geomagnetic,1990-01-23 00:00:00.000,,,,,,ap,20.0
geomagnetic,1990-01-23 00:00:00.000,,,,,,kp,3.458375
solar,1990-01-23 00:00:00.000,,,,,,f107_observed,241.1
solar,1990-01-23 00:00:00.000,,,,,,sunspot_number,257.0
tidal_ephemeris,1990-01-23 00:00:00.000,,,,,,tidal_potential,-0.85761
tidal_ephemeris,1990-01-23 00:00:00.000,,,,,,lunar_phase,0.8649
seismic,1990-01-23 00:41:05.790,42.523,-71.544,5.0,2.5,,,
seismic,1990-01-23 01:40:01.900,36.5,-89.47,10.0,1.5,,,
geomagnetic,1990-01-24 00:00:00.000,,,,,,ap,32.0
geomagnetic,1990-01-24 00:00:00.000,,,,,,kp,4.208375
solar,1990-01-24 00:00:00.000,,,,,,f107_observed,247.4
solar,1990-01-24 00:00:00.000,,,,,,sunspot_number,245.0
tidal_ephemeris,1990-01-24 00:00:00.000,,,,,,tidal_potential,-0.63431
tidal_ephemeris,1990-01-24 00:00:00.000,,,,,,lunar_phase,0.9008
seismic,1990-01-24 09:23:48.200,36.54,-89.62,10.8,1.5,,,
seismic,1990-01-24 10:06:02.100,36.43,-89.5,5.0,1.3,,,
seismic,1990-01-24 18:20:26.200,38.14,-86.49,10.0,3.9,,,
seismic,1990-01-24 22:03:06.050,36.681,-89.525,15.4,1.5,,,
geomagnetic,1990-01-25 00:00:00.000,,,,,,ap,19.0
geomagnetic,1990-01-25 00:00:00.000,,,,,,kp,3.166625
solar,1990-01-25 00:00:00.000,,,,,,f107_observed,242.0
solar,1990-01-25 00:00:00.000,,,,,,sunspot_number,264.0
tidal_ephemeris,1990-01-25 00:00:00.000,,,,,,tidal_potential,-0.37963
tidal_ephemeris,1990-01-25 00:00:00.000,,,,,,lunar_phase,0.93702
seismic,1990-01-25 04:19:23.180,35.584,-89.733,12.9,2.5,,,
seismic,1990-01-25 09:29:48.730,36.793,-89.482,26.6,1.3,,,
seismic,1990-01-25 22:06:49.200,37.23,-86.99,10.0,2.2,,,
geomagnetic,1990-01-26 00:00:00.000,,,,,,ap,10.0
geomagnetic,1990-01-26 00:00:00.000,,,,,,kp,2.208375
solar,1990-01-26 00:00:00.000,,,,,,f107_observed,246.3
solar,1990-01-26 00:00:00.000,,,,,,sunspot_number,260.0
tidal_ephemeris,1990-01-26 00:00:00.000,,,,,,tidal_potential,-0.11089
tidal_ephemeris,1990-01-26 00:00:00.000,,,,,,lunar_phase,0.97271
geomagnetic,1990-01-27 00:00:00.000,,,,,,ap,4.0
geomagnetic,1990-01-27 00:00:00.000,,,,,,kp,0.874875
solar,1990-01-27 00:00:00.000,,,,,,f107_observed,239.4
solar,1990-01-27 00:00:00.000,,,,,,sunspot_number,271.0
tidal_ephemeris,1990-01-27 00:00:00.000,,,,,,tidal_potential,0.15307
tidal_ephemeris,1990-01-27 00:00:00.000,,,,,,lunar_phase,0.00729
seismic,1990-01-27 05:20:33.110,36.383,-89.513,12.7,1.4,,,
seismic,1990-01-27 14:05:51.670,38.184,-86.43,5.3,3.8,,,
seismic,1990-01-27 15:14:34.600,36.48,-89.51,10.0,1.8,,,
geomagnetic,1990-01-28 00:00:00.000,,,,,,ap,7.0
geomagnetic,1990-01-28 00:00:00.000,,,,,,kp,1.666625
solar,1990-01-28 00:00:00.000,,,,,,f107_observed,237.2
solar,1990-01-28 00:00:00.000,,,,,,sunspot_number,248.0
tidal_ephemeris,1990-01-28 00:00:00.000,,,,,,tidal_potential,0.39426
tidal_ephemeris,1990-01-28 00:00:00.000,,,,,,lunar_phase,0.04061
seismic,1990-01-28 01:21:29.400,36.51,-89.56,10.6,1.7,,,
seismic,1990-01-28 11:00:21.880,35.957,-89.906,12.6,1.7,,,
geomagnetic,1990-01-29 00:00:00.000,,,,,,ap,24.0
geomagnetic,1990-01-29 00:00:00.000,,,,,,kp,3.7501249999999997
solar,1990-01-29 00:00:00.000,,,,,,f107_observed,234.7
solar,1990-01-29 00:00:00.000,,,,,,sunspot_number,237.0
tidal_ephemeris,1990-01-29 00:00:00.000,,,,,,tidal_potential,0.59829
tidal_ephemeris,1990-01-29 00:00:00.000,,,,,,lunar_phase,0.07288
seismic,1990-01-29 00:07:05.010,36.293,-89.522,5.6,1.3,,,
seismic,1990-01-29 07:10:09.700,36.51,-89.49,6.8,1.3,,,
seismic,1990-01-29 19:41:45.420,38.45,-86.46,0.1,2.6,,,
geomagnetic,1990-01-30 00:00:00.000,,,,,,ap,24.0
geomagnetic,1990-01-30 00:00:00.000,,,,,,kp,3.625
solar,1990-01-30 00:00:00.000,,,,,,f107_observed,217.8
solar,1990-01-30 00:00:00.000,,,,,,sunspot_number,254.0
tidal_ephemeris,1990-01-30 00:00:00.000,,,,,,tidal_potential,0.75651
tidal_ephemeris,1990-01-30 00:00:00.000,,,,,,lunar_phase,0.1046
seismic,1990-01-30 05:29:53.420,36.318,-89.584,14.3,1.7,,,
geomagnetic,1990-01-31 00:00:00.000,,,,,,ap,18.0
geomagnetic,1990-01-31 00:00:00.000,,,,,,kp,3.208125
solar,1990-01-31 00:00:00.000,,,,,,f107_observed,215.6
solar,1990-01-31 00:00:00.000,,,,,,sunspot_number,258.0
tidal_ephemeris,1990-01-31 00:00:00.000,,,,,,tidal_potential,0.86645
tidal_ephemeris,1990-01-31 00:00:00.000,,,,,,lunar_phase,0.13647
geomagnetic,1990-02-01 00:00:00.000,,,,,,ap,22.0
geomagnetic,1990-02-01 00:00:00.000,,,,,,kp,3.375
solar,1990-02-01 00:00:00.000,,,,,,f107_observed,206.8
solar,1990-02-01 00:00:00.000,,,,,,sunspot_number,225.0
tidal_ephemeris,1990-02-01 00:00:00.000,,,,,,tidal_potential,0.9305
tidal_ephemeris,1990-02-01 00:00:00.000,,,,,,lunar_phase,0.16924
geomagnetic,1990-02-02 00:00:00.000,,,,,,ap,25.0
geomagnetic,1990-02-02 00:00:00.000,,,,,,kp,3.8752499999999994
solar,1990-02-02 00:00:00.000,,,,,,f107_observed,183.0
solar,1990-02-02 00:00:00.000,,,,,,sunspot_number,212.0
tidal_ephemeris,1990-02-02 00:00:00.000,,,,,,tidal_potential,0.95347
tidal_ephemeris,1990-02-02 00:00:00.000,,,,,,lunar_phase,0.20362
seismic,1990-02-02 11:14:35.800,35.662,-84.263,14.1,2.1,,,
geomagnetic,1990-02-03 00:00:00.000,,,,,,ap,8.0
geomagnetic,1990-02-03 00:00:00.000,,,,,,kp,2.041625
solar,1990-02-03 00:00:00.000,,,,,,f107_observed,162.5
solar,1990-02-03 00:00:00.000,,,,,,sunspot_number,163.0
tidal_ephemeris,1990-02-03 00:00:00.000,,,,,,tidal_potential,0.93993
tidal_ephemeris,1990-02-03 00:00:00.000,,,,,,lunar_phase,0.24015
seismic,1990-02-03 15:22:50.980,36.545,-89.58,6.0,2.1,,,
seismic,1990-02-03 16:18:32.100,36.52,-89.56,5.0,1.3,,,
seismic,1990-02-03 17:42:38.910,36.539,-89.573,4.3,1.9,,,
seismic,1990-02-03 18:36:51.200,36.51,-89.54,5.0,1.5,,,
seismic,1990-02-03 19:37:47.100,36.51,-89.54,7.2,1.8,,,
geomagnetic,1990-02-04 00:00:00.000,,,,,,ap,28.0
geomagnetic,1990-02-04 00:00:00.000,,,,,,kp,3.791625
solar,1990-02-04 00:00:00.000,,,,,,f107_observed,159.2
solar,1990-02-04 00:00:00.000,,,,,,sunspot_number,149.0
tidal_ephemeris,1990-02-04 00:00:00.000,,,,,,tidal_potential,0.89239
tidal_ephemeris,1990-02-04 00:00:00.000,,,,,,lunar_phase,0.27889
seismic,1990-02-04 04:08:24.900,36.4,-89.55,8.0,1.9,,,
seismic,1990-02-04 08:02:41.200,36.5,-89.55,7.5,1.5,,,
seismic,1990-02-04 11:10:25.300,36.52,-89.52,5.0,1.5,,,
seismic,1990-02-04 16:47:15.700,36.52,-89.55,4.4,1.6,,,
geomagnetic,1990-02-05 00:00:00.000,,,,,,ap,24.0
geomagnetic,1990-02-05 00:00:00.000,,,,,,kp,3.66675
solar,1990-02-05 00:00:00.000,,,,,,f107_observed,155.2
solar,1990-02-05 00:00:00.000,,,,,,sunspot_number,128.0
tidal_ephemeris,1990-02-05 00:00:00.000,,,,,,tidal_potential,0.8108
tidal_ephemeris,1990-02-05 00:00:00.000,,,,,,lunar_phase,0.31932
seismic,1990-02-05 07:33:57.700,36.52,-89.55,4.5,1.6,,,
seismic,1990-02-05 16:44:23.890,36.531,-89.568,7.8,2.2,,,
seismic,1990-02-05 16:51:59.600,36.52,-89.52,5.0,1.4,,,
seismic,1990-02-05 17:44:45.100,36.5,-89.53,5.0,1.8,,,
seismic,1990-02-05 20:59:54.400,35.917,-83.162,4.1,1.7,,,
geomagnetic,1990-02-06 00:00:00.000,,,,,,ap,10.0
geomagnetic,1990-02-06 00:00:00.000,,,,,,kp,1.95825
solar,1990-02-06 00:00:00.000,,,,,,f107_observed,151.7
solar,1990-02-06 00:00:00.000,,,,,,sunspot_number,105.0
tidal_ephemeris,1990-02-06 00:00:00.000,,,,,,tidal_potential,0.69335
tidal_ephemeris,1990-02-06 00:00:00.000,,,,,,lunar_phase,0.36025
seismic,1990-02-06 01:45:47.930,36.54,-89.568,4.1,1.4,,,
seismic,1990-02-06 22:09:10.380,38.456,-87.813,9.5,2.3,,,
seismic,1990-02-06 23:30:10.200,36.5,-89.57,10.0,1.1,,,
geomagnetic,1990-02-07 00:00:00.000,,,,,,ap,25.0
geomagnetic,1990-02-07 00:00:00.000,,,,,,kp,3.5832499999999996
solar,1990-02-07 00:00:00.000,,,,,,f107_observed,148.3
solar,1990-02-07 00:00:00.000,,,,,,sunspot_number,108.0
tidal_ephemeris,1990-02-07 00:00:00.000,,,,,,tidal_potential,0.53844
tidal_ephemeris,1990-02-07 00:00:00.000,,,,,,lunar_phase,0.40024
seismic,1990-02-07 00:14:36.200,36.54,-89.59,4.2,1.4,,,
seismic,1990-02-07 07:41:39.900,32.908,-80.163,9.3,2.9,,,
geomagnetic,1990-02-08 00:00:00.000,,,,,,ap,8.0
geomagnetic,1990-02-08 00:00:00.000,,,,,,kp,1.58325
solar,1990-02-08 00:00:00.000,,,,,,f107_observed,146.1
solar,1990-02-08 00:00:00.000,,,,,,sunspot_number,125.0
tidal_ephemeris,1990-02-08 00:00:00.000,,,,,,tidal_potential,0.34697
tidal_ephemeris,1990-02-08 00:00:00.000,,,,,,lunar_phase,0.43811
geomagnetic,1990-02-09 00:00:00.000,,,,,,ap,7.0
geomagnetic,1990-02-09 00:00:00.000,,,,,,kp,1.583375
solar,1990-02-09 00:00:00.000,,,,,,f107_observed,145.8
solar,1990-02-09 00:00:00.000,,,,,,sunspot_number,136.0
tidal_ephemeris,1990-02-09 00:00:00.000,,,,,,tidal_potential,0.12414
tidal_ephemeris,1990-02-09 00:00:00.000,,,,,,lunar_phase,0.47331
geomagnetic,1990-02-10 00:00:00.000,,,,,,ap,8.0
geomagnetic,1990-02-10 00:00:00.000,,,,,,kp,1.958375
solar,1990-02-10 00:00:00.000,,,,,,f107_observed,152.5
solar,1990-02-10 00:00:00.000,,,,,,sunspot_number,104.0
tidal_ephemeris,1990-02-10 00:00:00.000,,,,,,tidal_potential,-0.12002
tidal_ephemeris,1990-02-10 00:00:00.000,,,,,,lunar_phase,0.50588
seismic,1990-02-10 22:50:13.370,36.579,-89.596,7.2,2.0,,,
seismic,1990-02-10 23:18:27.400,36.47,-89.51,5.1,1.5,,,
seismic,1990-02-10 23:42:07.900,35.275,-84.067,6.4,2.4,,,
geomagnetic,1990-02-11 00:00:00.000,,,,,,ap,10.0
geomagnetic,1990-02-11 00:00:00.000,,,,,,kp,2.291625
solar,1990-02-11 00:00:00.000,,,,,,f107_observed,138.5
solar,1990-02-11 00:00:00.000,,,,,,sunspot_number,99.0
tidal_ephemeris,1990-02-11 00:00:00.000,,,,,,tidal_potential,-0.37148
tidal_ephemeris,1990-02-11 00:00:00.000,,,,,,lunar_phase,0.53627
seismic,1990-02-11 10:46:38.620,36.195,-89.462,12.1,1.2,,,
seismic,1990-02-11 23:26:37.000,36.26,-89.52,9.3,1.4,,,
seismic,1990-02-11 23:26:52.120,36.266,-89.493,1.7,1.8,,,
geomagnetic,1990-02-12 00:00:00.000,,,,,,ap,6.0
geomagnetic,1990-02-12 00:00:00.000,,,,,,kp,1.45825
solar,1990-02-12 00:00:00.000,,,,,,f107_observed,143.7
solar,1990-02-12 00:00:00.000,,,,,,sunspot_number,105.0
tidal_ephemeris,1990-02-12 00:00:00.000,,,,,,tidal_potential,-0.61418
tidal_ephemeris,1990-02-12 00:00:00.000,,,,,,lunar_phase,0.56511
seismic,1990-02-12 04:05:13.000,36.51,-89.53,5.0,1.3,,,
geomagnetic,1990-02-13 00:00:00.000,,,,,,ap,9.0
geomagnetic,1990-02-13 00:00:00.000,,,,,,kp,1.583125
solar,1990-02-13 00:00:00.000,,,,,,f107_observed,146.5
solar,1990-02-13 00:00:00.000,,,,,,sunspot_number,112.0
tidal_ephemeris,1990-02-13 00:00:00.000,,,,,,tidal_potential,-0.83217
tidal_ephemeris,1990-02-13 00:00:00.000,,,,,,lunar_phase,0.59311
seismic,1990-02-13 06:12:08.100,36.26,-89.47,4.5,1.6,,,
geomagnetic,1990-02-14 00:00:00.000,,,,,,ap,30.0
geomagnetic,1990-02-14 00:00:00.000,,,,,,kp,3.5
solar,1990-02-14 00:00:00.000,,,,,,f107_observed,153.3
solar,1990-02-14 00:00:00.000,,,,,,sunspot_number,99.0
tidal_ephemeris,1990-02-14 00:00:00.000,,,,,,tidal_potential,-1.01116
tidal_ephemeris,1990-02-14 00:00:00.000,,,,,,lunar_phase,0.62093
seismic,1990-02-14 10:43:38.100,35.58,-83.523,10.0,1.3,,,
seismic,1990-02-14 21:05:38.900,36.16,-89.44,6.9,1.8,,,
geomagnetic,1990-02-15 00:00:00.000,,,,,,ap,36.0
geomagnetic,1990-02-15 00:00:00.000,,,,,,kp,3.875
solar,1990-02-15 00:00:00.000,,,,,,f107_observed,152.5
solar,1990-02-15 00:00:00.000,,,,,,sunspot_number,103.0
tidal_ephemeris,1990-02-15 00:00:00.000,,,,,,tidal_potential,-1.13946
tidal_ephemeris,1990-02-15 00:00:00.000,,,,,,lunar_phase,0.64921
seismic,1990-02-15 04:17:39.030,36.199,-89.418,5.6,1.6,,,
geomagnetic,1990-02-16 00:00:00.000,,,,,,ap,50.0
geomagnetic,1990-02-16 00:00:00.000,,,,,,kp,4.7085
solar,1990-02-16 00:00:00.000,,,,,,f107_observed,152.4
solar,1990-02-16 00:00:00.000,,,,,,sunspot_number,84.0
tidal_ephemeris,1990-02-16 00:00:00.000,,,,,,tidal_potential,-1.20816
tidal_ephemeris,1990-02-16 00:00:00.000,,,,,,lunar_phase,0.6785
seismic,1990-02-16 05:06:15.680,36.206,-88.943,3.2,1.8,,,
seismic,1990-02-16 06:00:24.300,36.52,-89.54,6.5,2.0,,,
geomagnetic,1990-02-17 00:00:00.000,,,,,,ap,33.0
geomagnetic,1990-02-17 00:00:00.000,,,,,,kp,4.166625
solar,1990-02-17 00:00:00.000,,,,,,f107_observed,155.2
solar,1990-02-17 00:00:00.000,,,,,,sunspot_number,71.0
tidal_ephemeris,1990-02-17 00:00:00.000,,,,,,tidal_potential,-1.21105
tidal_ephemeris,1990-02-17 00:00:00.000,,,,,,lunar_phase,0.70923
seismic,1990-02-17 14:21:22.700,35.701,-84.212,0.8,2.0,,,
seismic,1990-02-17 16:30:32.000,35.716,-84.23,1.0,2.7,,,
seismic,1990-02-17 22:23:47.300,36.54,-89.58,5.0,1.6,,,
geomagnetic,1990-02-18 00:00:00.000,,,,,,ap,23.0
geomagnetic,1990-02-18 00:00:00.000,,,,,,kp,3.666875
solar,1990-02-18 00:00:00.000,,,,,,f107_observed,164.8
solar,1990-02-18 00:00:00.000,,,,,,sunspot_number,101.0
tidal_ephemeris,1990-02-18 00:00:00.000,,,,,,tidal_potential,-1.14454
tidal_ephemeris,1990-02-18 00:00:00.000,,,,,,lunar_phase,0.74164
seismic,1990-02-18 00:13:24.100,35.719,-84.212,1.0,1.9,,,
seismic,1990-02-18 12:09:39.800,32.961,-80.175,1.9,2.1,,,
geomagnetic,1990-02-19 00:00:00.000,,,,,,ap,33.0
geomagnetic,1990-02-19 00:00:00.000,,,,,,kp,4.250125
solar,1990-02-19 00:00:00.000,,,,,,f107_observed,184.4
solar,1990-02-19 00:00:00.000,,,,,,sunspot_number,141.0
tidal_ephemeris,1990-02-19 00:00:00.000,,,,,,tidal_potential,-1.00779
tidal_ephemeris,1990-02-19 00:00:00.000,,,,,,lunar_phase,0.77571
geomagnetic,1990-02-20 00:00:00.000,,,,,,ap,38.0
geomagnetic,1990-02-20 00:00:00.000,,,,,,kp,4.54175
